Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
1160 Oudergem,Apartment,Apartment,705000.0,for sale,2.0,109.0,,,0.0,1.0,29.0,1.0,,,,2.0,,New
1301 Bierges,House,Residence,945000.0,for sale,5.0,258.0,0.0,0.0,,1.0,100.0,1.0,1500.0,3465.0,,4.0,1.0,Normal
8200 Sint Andries,House,Residence,329000.0,for sale,3.0,104.0,,,,1.0,,0.0,,65.0,,2.0,,
4602 Cheratte,House,Residence,517491.0,for sale,3.0,185.0,,,,,,1.0,,870.0,,4.0,,New
8940 Wervik,House,Residence,149000.0,for sale,4.0,155.0,0.0,,0.0,1.0,,1.0,,213.0,,2.0,0.0,Normal
5190 Balatre,House,Residence,375000.0,for sale,3.0,173.0,0.0,0.0,,1.0,,1.0,,2000.0,,4.0,,Normal
9400 Ninove,House,Villa,1290000.0,for sale,6.0,480.0,,1.0,,1.0,,1.0,,1880.0,,4.0,1.0,Normal
3090 Overijse,House,Residence,695000.0,for sale,4.0,170.0,0.0,0.0,,1.0,,1.0,,1156.0,,4.0,0.0,Excellent
1342 Limelette,House,Villa,595000.0,for sale,6.0,300.0,1.0,0.0,,1.0,,1.0,550.0,1208.0,,4.0,1.0,To be renovated
9100 Sint Niklaas,House,Residence,215000.0,for sale,3.0,96.0,,0.0,,1.0,,0.0,,50.0,,2.0,,Excellent
7090 Braine Le Comte,Apartment,Apartment,280000.0,for sale,2.0,90.0,,,,1.0,10.0,,,,,,,
7500 Tournai,House,Mixed Building,395000.0,for sale,2.0,250.0,,0.0,,1.0,10.0,0.0,,140.0,,3.0,0.0,Excellent
6940 Barvaux Sur Ourthe,Apartment,Apartment,174600.0,for sale,1.0,63.0,,0.0,,1.0,6.0,0.0,,,,,,
9310 Baardegem,House,Residence,505000.0,for sale,3.0,,,0.0,,1.0,,1.0,220.0,438.0,,3.0,,New
8650 Houthulst,House,Residence,389518.0,for sale,3.0,166.0,,,,1.0,,1.0,,397.0,,3.0,,New
4000 Glain,House,Residence,190000.0,for sale,4.0,,,,,0.0,,1.0,,,,,,
7700 Mouscron,House,Residence,261000.0,for sale,3.0,,,,,1.0,,0.0,,,,2.0,,
2960 Brecht,House,Residence,514500.0,for sale,3.0,169.0,,,,1.0,,1.0,,424.0,,4.0,,New
6060 Gilly,House,Residence,175000.0,for sale,3.0,,,,,1.0,,1.0,,,,3.0,,Normal
1030 Schaarbeek,House,Mixed Building,1525000.0,for sale,6.0,573.0,0.0,,,1.0,,,,250.0,,2.0,0.0,Normal
1701 Itterbeek,House,Residence,619000.0,for sale,4.0,128.0,,,,1.0,,1.0,350.0,745.0,,4.0,,Normal
8870 Izegem,House,Residence,265000.0,for sale,3.0,140.0,,0.0,,1.0,,1.0,153.0,224.0,,2.0,,Normal
9190 Kemzeke,House,Residence,449000.0,for sale,4.0,,,0.0,,1.0,,1.0,,610.0,,3.0,,
1130 Haren,Apartment,Ground Floor,360000.0,for sale,2.0,117.0,,0.0,,1.0,45.0,1.0,100.0,,,,,
4210 Burdinne,House,Residence,315000.0,for sale,3.0,138.0,,,,0.0,,1.0,286.0,400.0,,3.0,0.0,Fully renovated
2200 Morkhoven,House,Residence,,for sale,3.0,164.0,,,,1.0,,1.0,,367.0,,,,Normal
9300 Aalst,Apartment,Apartment,430995.0,for sale,2.0,110.0,,,,1.0,25.0,1.0,,,,2.0,,New
1410 Waterloo,House,Villa,575000.0,for sale,3.0,150.0,,0.0,,1.0,60.0,1.0,500.0,899.0,,,,
1570 Galmaarden,House,Residence,249000.0,for sale,3.0,,,,,1.0,,1.0,,316.0,,,,To be renovated
8560 Wevelgem,House,Residence,353850.0,for sale,3.0,1.0,0.0,,,,,1.0,,422.0,,3.0,,Excellent
8300 Knokke Heist,Apartment,Apartment,1625000.0,for sale,3.0,125.0,0.0,,,,,,,,,3.0,0.0,Fully renovated
6800 Libramont Chevigny,House,Residence,170000.0,for sale,2.0,,,0.0,,0.0,,1.0,,272.0,,3.0,,Normal
1050 Elsene,Apartment,Triplex,190000.0,for sale,2.0,65.0,,0.0,,0.0,,0.0,,,,2.0,,To be renovated
2170 Merksem,Apartment,Apartment,204000.0,for sale,3.0,91.0,,0.0,,1.0,,0.0,,,,2.0,,To be renovated
5060 Tamines,House,Residence,189999.0,for sale,2.0,148.0,1.0,,,1.0,,1.0,50.0,129.0,,2.0,0.0,Normal
4620 Fleron,Apartment,Apartment,249000.0,for sale,2.0,87.0,,,,0.0,,0.0,,,,3.0,,
2500 Lier,Apartment,Apartment,295000.0,for sale,2.0,90.0,,0.0,,1.0,10.0,0.0,,,,2.0,,Excellent
7890 Ellezelles,House,Master House,745000.0,for sale,6.0,550.0,0.0,0.0,,1.0,,1.0,2000.0,2418.0,,4.0,0.0,Normal
1745 Opwijk,House,Residence,414000.0,for sale,3.0,148.0,0.0,0.0,,1.0,,1.0,,235.0,,2.0,,New
4430 Ans,House,Residence,259000.0,for sale,4.0,185.0,0.0,0.0,,0.0,,1.0,43.0,135.0,,2.0,0.0,Normal
4800 Verviers,Apartment,Apartment,169000.0,for sale,2.0,77.0,,0.0,,1.0,,1.0,,,,,0.0,Normal
5630 Daussois,House,Residence,375000.0,for sale,3.0,165.0,1.0,0.0,,1.0,,1.0,,1104.0,,4.0,,
1180 Ukkel,Apartment,Apartment,430000.0,for sale,2.0,100.0,0.0,,,1.0,,1.0,100.0,,,,,New
