Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
1120 Neder Over Heembeek,Apartment,Studio,130000.0,for sale,0.0,40.0,1.0,0.0,,1.0,2.0,0.0,,,,3.0,,To renovate
8420 De Haan,Apartment,Studio,119000.0,for sale,,26.0,,1.0,,1.0,,0.0,,,,,1.0,Excellent
8420 Wenduine,House,Residence,457000.0,for sale,2.0,138.0,,,,1.0,,,,,,,,Fully renovated
1933 Sterrebeek,House,Villa,3140000.0,for sale,4.0,492.0,,,0.0,1.0,125.0,1.0,,1253.0,,4.0,,New
2970 Schilde,House,Residence,549000.0,for sale,2.0,149.0,,0.0,,1.0,27.0,1.0,,758.0,,4.0,,Normal
5651 Tarcienne,Apartment,Duplex,327000.0,for sale,2.0,114.0,0.0,,,1.0,11.0,,,,,2.0,0.0,Excellent
2300 Turnhout,Apartment,Apartment,227000.0,for sale,1.0,68.0,,0.0,,1.0,8.0,0.0,,,,3.0,,New
9500 Geraardsbergen,House,Residence,525000.0,for sale,5.0,266.0,0.0,0.0,,1.0,,1.0,,2010.0,,3.0,0.0,Normal
9860 Oosterzele,House,Residence,325000.0,for sale,3.0,190.0,,0.0,,0.0,,0.0,,800.0,,,,
1730 Asse,Apartment,Apartment,295000.0,for sale,3.0,150.0,,0.0,,1.0,3.0,0.0,,,,2.0,,Normal
4040 Herstal,House,Residence,215000.0,for sale,3.0,110.0,1.0,0.0,,1.0,15.0,1.0,50.0,150.0,,4.0,0.0,Normal
4180 Hamoir,House,Residence,299000.0,for sale,7.0,240.0,1.0,0.0,,1.0,30.0,1.0,375.0,747.0,,4.0,0.0,Normal
4420 Saint Nicolas,House,Residence,119000.0,for sale,1.0,98.0,0.0,,,1.0,,1.0,339.0,398.0,,2.0,,To be renovated
4680 Oupeye,Apartment,Apartment,189000.0,for sale,3.0,112.0,1.0,0.0,,1.0,9.0,0.0,,,,3.0,0.0,Normal
1050 Elsene,Apartment,Apartment,895000.0,for sale,3.0,205.0,0.0,0.0,,1.0,8.0,,,,,2.0,0.0,Excellent
9100 Sint Niklaas,House,Residence,279000.0,for sale,3.0,181.0,,0.0,,1.0,,1.0,,214.0,,2.0,,To be renovated
1180 Ukkel,Apartment,Apartment,325000.0,for sale,1.0,73.0,1.0,,,1.0,,,,,,,,Fully renovated
9420 Erpe Mere,House,Residence,519290.0,for sale,3.0,180.0,,,,,,,,971.0,,3.0,,New
9308 Hofstade,House,Residence,149000.0,for sale,2.0,120.0,0.0,0.0,,1.0,,1.0,60.0,166.0,,3.0,0.0,To be renovated
1050 Elsene,Apartment,Studio,156000.0,for sale,,13.0,0.0,,,0.0,,,,,,4.0,0.0,New
1160 Oudergem,House,Residence,750000.0,for sale,4.0,162.0,1.0,0.0,,1.0,30.0,1.0,,288.0,,3.0,,To renovate
6032 Mont Sur Marchienne,Apartment,Apartment,155000.0,for sale,2.0,,,,,1.0,,0.0,,,,,,
5542 Blaimont,House,Chalet,65000.0,for sale,2.0,40.0,0.0,1.0,,1.0,,0.0,,344.0,,4.0,,
3650 Dilsen Stokkem,Apartment,Apartment,291907.0,for sale,2.0,95.0,,,,1.0,13.0,0.0,,,,,,
3680 Maaseik,House,Residence,345000.0,for sale,2.0,121.0,,,,1.0,5.0,1.0,,,,3.0,,
6900 Marche En Famenne,House,Residence,175000.0,in public sale,4.0,,,,,0.0,,1.0,,730.0,,2.0,,To be renovated
6717 Attert,Apartment,Apartment,410000.0,for sale,3.0,155.0,,,,0.0,,0.0,,,,,,Normal
7500 Tournai,House,Residence,320000.0,for sale,5.0,247.0,,0.0,,0.0,,0.0,,170.0,,2.0,,To be renovated
6880 Bertrix,House,Residence,278500.0,for sale,3.0,92.0,1.0,0.0,,1.0,24.0,1.0,529.0,627.0,,4.0,0.0,Normal
4820 Dison,Apartment,Apartment,219000.0,for sale,2.0,82.0,0.0,0.0,,1.0,,0.0,,,,2.0,0.0,Excellent
2580 Beerzel,Apartment,Apartment,349000.0,for sale,2.0,101.0,,,,1.0,,1.0,,,,,,New
8300 Knokke,Apartment,Apartment,540000.0,for sale,2.0,74.0,,1.0,,1.0,,0.0,,,,,,To be renovated
8540 Deerlijk,House,Mixed Building,289000.0,for sale,3.0,131.0,0.0,,,1.0,,,,94.0,,2.0,0.0,Normal
6700 Arlon,Apartment,Apartment,225000.0,for sale,1.0,56.0,0.0,0.0,,1.0,9.0,1.0,,,,2.0,,New
2520 Ranst,Apartment,Apartment,269000.0,for sale,2.0,81.0,,1.0,,0.0,,0.0,,,,3.0,,Excellent
3621 Rekem,House,Master House,1450000.0,for sale,8.0,955.0,1.0,,,1.0,,1.0,,12194.0,,4.0,,To be renovated
3740 Munsterbilzen,House,Residence,438385.0,for sale,4.0,164.0,,0.0,,1.0,23.0,1.0,458.0,563.0,,,,New
2520 Oelegem,Apartment,Ground Floor,345000.0,for sale,2.0,83.0,,0.0,,1.0,15.0,1.0,40.0,,,4.0,,Excellent
1080 Sint Jans Molenbeek,Apartment,Apartment,175000.0,for sale,1.0,78.0,0.0,0.0,,1.0,6.0,0.0,,,,2.0,,To be renovated
6250 Presles,House,Villa,695000.0,for sale,5.0,400.0,0.0,,,1.0,,1.0,,,,,,
2230 Herselt,House,Bungalow,450000.0,for sale,3.0,270.0,,0.0,,1.0,,1.0,,671.0,,4.0,,Normal
9300 Aalst,Apartment,Apartment,199000.0,for sale,3.0,115.0,1.0,0.0,,1.0,6.0,0.0,,,,2.0,0.0,Normal
1190 Vorst,Apartment,Apartment,385000.0,for sale,2.0,100.0,,0.0,,1.0,,0.0,,,,,,
1030 Schaarbeek,Apartment,Apartment,275000.0,for sale,2.0,106.0,0.0,0.0,,1.0,18.0,0.0,,,,4.0,0.0,Excellent
9450 Haaltert,House,Residence,351050.0,for sale,3.0,1.0,0.0,,,,,1.0,,372.0,,3.0,,Excellent
8670 Koksijde,Apartment,Apartment,445000.0,for sale,2.0,67.0,0.0,,,1.0,9.0,1.0,,,,2.0,,New
2018 Antwerp,Apartment,Studio,150000.0,for sale,1.0,44.0,,0.0,,0.0,,0.0,,,,2.0,,To be renovated
4700 Eupen,Apartment,Apartment,506000.0,for sale,2.0,147.0,,,,0.0,,0.0,,,,,,
9570 Lierde,House,Residence,399000.0,for sale,4.0,190.0,0.0,0.0,,1.0,16.0,1.0,75.0,,,2.0,0.0,New
3500 Hasselt,House,Residence,365000.0,for sale,4.0,175.0,,0.0,,0.0,,1.0,,274.0,,2.0,,Normal
2060 Antwerp,Apartment,Apartment,399000.0,for sale,3.0,183.0,,0.0,,1.0,,0.0,,,,3.0,,Normal
2920 Kalmthout,House,Residence,429000.0,for sale,3.0,150.0,,0.0,,1.0,,1.0,,1121.0,,4.0,,Normal
6791 Athus,Apartment,Apartment,275000.0,for sale,2.0,85.0,1.0,,,0.0,,0.0,,,,,,
7900 Leuze En Hainaut,House,Mixed Building,600000.0,for sale,7.0,,0.0,,,,,,,259.0,,2.0,,Normal
6600 Bastogne,House,Residence,260000.0,for sale,3.0,,,0.0,,1.0,,0.0,,538.0,,3.0,,Normal
7870 Lens,House,Residence,438359.0,for sale,3.0,190.0,,,,,,1.0,,1050.0,,4.0,,New
1040 Etterbeek,House,Mixed Building,2785000.0,for sale,7.0,785.0,0.0,1.0,,1.0,147.0,,,,,2.0,0.0,Excellent
1080 Sint Jans Molenbeek,House,Residence,349000.0,for sale,6.0,172.0,0.0,,,1.0,7.0,,,58.0,,2.0,,Excellent
8000 Brugge,House,Residence,215000.0,for sale,2.0,125.0,0.0,,,1.0,25.0,1.0,76.0,144.0,,2.0,,To be renovated
4458 Fexhe Slins,Apartment,Apartment,272727.0,for sale,3.0,110.0,,0.0,,1.0,8.0,0.0,,,,3.0,0.0,
9041 Oostakker,Apartment,Apartment,384000.0,for sale,2.0,90.0,0.0,0.0,,1.0,8.0,1.0,,,,3.0,0.0,New
5003 Saint Marc,House,Residence,425000.0,for sale,4.0,158.0,0.0,0.0,,1.0,15.0,1.0,302.0,302.0,,4.0,,New
1000 Brussels,Apartment,Apartment,557000.0,for sale,2.0,97.0,0.0,0.0,,1.0,2.0,0.0,,,,2.0,0.0,Excellent
1730 Asse,House,Residence,319000.0,for sale,3.0,239.0,,0.0,,1.0,15.0,1.0,535.0,640.0,,3.0,0.0,To renovate
7608 Wiers,House,Residence,285000.0,for sale,3.0,161.0,,1.0,,1.0,,1.0,,2701.0,,3.0,,Normal
6940 Durbuy,House,Residence,475000.0,for sale,4.0,170.0,,0.0,,1.0,,1.0,,1398.0,,4.0,,
1180 Ukkel,Apartment,Apartment,360000.0,for sale,1.0,71.0,,,0.0,1.0,11.0,0.0,,,,2.0,,New
9500 Geraardsbergen,House,Residence,699000.0,for sale,3.0,207.0,,,0.0,1.0,220.0,1.0,,1300.0,,4.0,1.0,Excellent
3210 Lubbeek,House,Villa,915000.0,for sale,4.0,250.0,,0.0,,1.0,45.0,1.0,,813.0,,,,
6010 Couillet,House,Residence,170000.0,for sale,2.0,81.0,,,,1.0,,1.0,,,,3.0,,Normal
6110 Montigny Le Tilleul,House,Villa,390000.0,for sale,2.0,100.0,,0.0,,1.0,50.0,1.0,,1385.0,,4.0,,
4190 Werbomont,House,Residence,535000.0,for sale,6.0,300.0,1.0,,,1.0,,1.0,,1778.0,,4.0,,Excellent
8470 Gistel,House,Residence,410000.0,for sale,3.0,165.0,0.0,,,1.0,,1.0,,286.0,,3.0,0.0,New
1700 Dilbeek,Apartment,Apartment,380000.0,for sale,3.0,105.0,,,0.0,1.0,9.0,0.0,,,,2.0,,Excellent
1030 Schaarbeek,Apartment,Apartment,219000.0,for sale,2.0,120.0,1.0,0.0,,1.0,18.0,1.0,,,,2.0,0.0,To renovate
4500 Huy,Apartment,Apartment,155000.0,for sale,2.0,80.0,,0.0,,0.0,,0.0,,,,2.0,,Normal
5190 Ham Sur Sambre,Apartment,Apartment,129000.0,for sale,2.0,133.0,,,,0.0,,0.0,,,,3.0,,
1930 Zaventem,Apartment,Apartment,325000.0,for sale,2.0,107.0,,0.0,,1.0,6.0,0.0,,,,2.0,,New
9340 Lede,House,Residence,210000.0,for sale,2.0,126.0,,0.0,,1.0,33.0,1.0,205.0,393.0,,3.0,,To be renovated
1330 Rixensart,House,Villa,390000.0,for sale,3.0,165.0,1.0,0.0,,,,1.0,,524.0,,4.0,0.0,To be renovated
8793 Sint Eloois Vijve,House,Residence,549000.0,for sale,5.0,319.0,1.0,0.0,,1.0,80.0,1.0,300.0,885.0,,2.0,1.0,Normal
3440 Zoutleeuw,House,Residence,160000.0,for sale,3.0,139.0,,,,0.0,,1.0,,180.0,,,,
1180 Ukkel,House,Residence,785000.0,for sale,4.0,287.0,0.0,0.0,,1.0,,1.0,300.0,384.0,,3.0,0.0,Normal
1180 Ukkel,House,Mixed Building,515000.0,for sale,2.0,360.0,,0.0,,0.0,,1.0,120.0,330.0,,2.0,,
9620 Zottegem,House,Residence,391500.0,for sale,3.0,,,,,0.0,,1.0,,253.0,,2.0,,New
9500 Moerbeke,House,Residence,258000.0,for sale,4.0,150.0,,0.0,,0.0,,0.0,,,,3.0,,Normal
6534 Gozee,Apartment,Apartment,255000.0,for sale,2.0,95.0,1.0,,,1.0,5.0,,,,,2.0,0.0,Normal
9280 Lebbeke,House,Residence,325000.0,for sale,6.0,260.0,,,,0.0,,0.0,,200.0,,,,Normal
1410 Waterloo,House,Villa,1495000.0,for sale,8.0,636.0,,,,1.0,200.0,1.0,800.0,1300.0,,4.0,,
6280 Gerpinnes,House,Residence,110000.0,for sale,3.0,141.0,,,,0.0,,1.0,,,,,,To be renovated
4600 Vise,Apartment,Apartment,599000.0,for sale,3.0,170.0,,,,1.0,27.0,0.0,,,,4.0,,
3650 Dilsen Stokkem,Apartment,Apartment,264388.0,for sale,2.0,95.0,,,,1.0,13.0,,,,,,,
1160 Oudergem,Apartment,Apartment,650000.0,for sale,2.0,108.0,,,0.0,1.0,21.0,0.0,,,,2.0,,New
6020 Dampremy,House,Residence,95000.0,for sale,3.0,101.0,0.0,0.0,,1.0,21.0,1.0,35.0,127.0,,3.0,,To renovate
7784 Warneton,House,Residence,160000.0,for sale,,196.0,,,,0.0,,1.0,,,,2.0,,To be renovated
4960 Beverce,House,Villa,385000.0,for sale,6.0,238.0,,,1.0,1.0,,1.0,,5578.0,,4.0,,Normal
4121 Neuville En Condroz,House,Residence,550000.0,for sale,4.0,165.0,1.0,,,1.0,,1.0,,1205.0,,4.0,,Normal
3500 Hasselt,House,Residence,260000.0,for sale,3.0,185.0,1.0,,,,,1.0,1368.0,1368.0,,4.0,,To renovate
3806 Velm,House,Residence,269000.0,for sale,2.0,,,,,0.0,,1.0,,115.0,,,,Excellent
1030 Schaarbeek,House,Residence,695000.0,for sale,5.0,330.0,,,,1.0,,1.0,155.0,317.0,,2.0,0.0,To renovate
1480 Tubize,House,Bungalow,349000.0,for sale,3.0,100.0,,0.0,,1.0,20.0,1.0,1300.0,1491.0,,4.0,0.0,To be renovated
5340 Gesves,House,Residence,300000.0,for sale,3.0,180.0,1.0,0.0,,1.0,50.0,1.0,850.0,1153.0,,4.0,1.0,Normal
5150 Floreffe,Apartment,Apartment,249000.0,for sale,2.0,71.0,,0.0,,1.0,12.0,0.0,,,,4.0,,New
1850 Grimbergen,Apartment,Apartment,210000.0,for sale,1.0,70.0,,0.0,,1.0,15.0,0.0,,,,2.0,0.0,Normal
6700 Arlon,Apartment,Apartment,337000.0,for sale,2.0,95.0,0.0,0.0,,1.0,14.0,1.0,,,,2.0,,New
7190 Ecaussinnes,House,Residence,137500.0,for sale,3.0,99.0,,,,1.0,5.0,1.0,,231.0,,2.0,,
9100 Nieuwkerken Waas,House,Residence,265000.0,for sale,,,,,,1.0,,1.0,,,,,,
8930 Menen,House,Residence,109000.0,for sale,2.0,120.0,0.0,,0.0,1.0,,1.0,,112.0,,2.0,0.0,To be renovated
9660 Brakel,House,Residence,451817.0,for sale,4.0,206.0,,,,,,,,1057.0,,3.0,,New
8400 Oostende,Apartment,Apartment,295000.0,for sale,1.0,69.0,,1.0,,1.0,39.0,0.0,,,,,,
6769 Meix Devant Virton,Apartment,Apartment,236000.0,for sale,2.0,82.0,,0.0,,0.0,,0.0,,,,,,
8890 Moorslede,House,Residence,80000.0,for sale,4.0,134.0,,,,1.0,,1.0,,126.0,,2.0,,
9320 Erembodegem,House,Villa,895000.0,for sale,4.0,390.0,,0.0,1.0,1.0,12.0,1.0,1300.0,,,,1.0,Normal
7130 Binche,House,Villa,785000.0,for sale,5.0,450.0,1.0,,,1.0,,1.0,,12700.0,,4.0,,
1950 Kraainem,House,Residence,561800.0,for sale,5.0,165.0,1.0,0.0,,1.0,30.0,1.0,600.0,723.0,,3.0,0.0,To be renovated
1180 Ukkel,Apartment,Penthouse,895000.0,for sale,2.0,180.0,,,0.0,1.0,25.0,0.0,,,,3.0,,Excellent
4130 Esneux,House,Residence,150000.0,for sale,5.0,369.0,,,,0.0,,1.0,1200.0,1880.0,,4.0,,
3270 Scherpenheuvel Zichem,Apartment,Apartment,575000.0,for sale,3.0,122.0,,,,1.0,,0.0,,,,3.0,,New
2050 Antwerp,Apartment,Apartment,175000.0,for sale,1.0,70.0,,,,1.0,8.0,0.0,,,,,,
7900 Leuze En Hainaut,House,Residence,249970.0,for sale,3.0,106.0,,0.0,,0.0,,1.0,,117.0,,2.0,,New
1700 Dilbeek,Apartment,Studio,199000.0,for sale,,44.0,,,,1.0,44.0,0.0,,,,2.0,,Normal
1367 Huppaye,House,Villa,425000.0,for sale,3.0,133.0,,0.0,,1.0,,1.0,,2358.0,,4.0,,
5540 Hastiere,House,Residence,350000.0,for sale,5.0,200.0,,0.0,1.0,1.0,25.0,1.0,252.0,,,,,Excellent
9041 Oostakker,Apartment,Apartment,279000.0,for sale,1.0,60.0,0.0,0.0,,1.0,6.0,1.0,,,,2.0,0.0,New
1435 Mont Saint Guibert,House,Residence,325000.0,for sale,2.0,122.0,0.0,0.0,,1.0,,1.0,135.0,288.0,,2.0,0.0,Excellent
9620 Zottegem,House,Residence,269000.0,for sale,3.0,242.0,,,,0.0,,1.0,,1120.0,,3.0,,
4170 Comblain Au Pont,House,Residence,295000.0,for sale,5.0,230.0,1.0,0.0,,1.0,95.0,1.0,1399.0,1399.0,,3.0,0.0,To renovate
6230 Pont A Celles,House,Master House,229000.0,for sale,4.0,163.0,1.0,0.0,,1.0,21.0,1.0,,616.0,,4.0,0.0,Normal
1090 Jette,House,Residence,519000.0,for sale,4.0,200.0,,,,1.0,27.0,1.0,100.0,201.0,,2.0,,
3090 Overijse,House,Residence,3690000.0,for sale,7.0,805.0,,0.0,,1.0,56.0,1.0,5268.0,8723.0,,4.0,,
1600 Sint Pieters Leeuw,House,Residence,325000.0,for sale,3.0,108.0,,,,1.0,7.0,1.0,1.0,186.0,,,,To renovate
1160 Oudergem,Apartment,Apartment,690000.0,for sale,3.0,210.0,,,0.0,1.0,9.0,1.0,11.0,,,1.0,,Excellent
9000 Gent,Apartment,Apartment,365000.0,for sale,3.0,104.0,0.0,0.0,,1.0,17.0,0.0,,,,2.0,0.0,New
4430 Ans,Apartment,Apartment,149000.0,for sale,2.0,65.0,,0.0,,0.0,,0.0,,,,,,Normal
6250 Aiseau Presles,House,Residence,89000.0,for sale,3.0,135.0,1.0,0.0,,0.0,,0.0,,76.0,,2.0,0.0,To renovate
3070 Kortenberg,House,Residence,530000.0,for sale,5.0,211.0,,0.0,0.0,0.0,,1.0,,,,,,Normal
1401 Baulers,House,Residence,450000.0,for sale,4.0,227.0,1.0,0.0,,1.0,,1.0,,760.0,,3.0,,Excellent
2800 Mechelen,House,Residence,255000.0,for sale,3.0,77.0,,0.0,,1.0,1.0,0.0,,30.0,,2.0,,Normal
5580 Rochefort,House,Residence,520000.0,for sale,6.0,260.0,,0.0,,1.0,60.0,1.0,,8500.0,,2.0,,
7600 Peruwelz,House,Residence,,for sale,2.0,100.0,,0.0,,0.0,,1.0,,495.0,,3.0,,To be renovated
3600 Genk,House,Residence,349000.0,for sale,2.0,143.0,,,,1.0,,1.0,,194.0,,2.0,,New
2627 Schelle,House,Residence,419000.0,for sale,3.0,156.0,,0.0,,1.0,44.0,1.0,230.0,385.0,,3.0,,Normal
4400 Flemalle,House,Residence,38500.0,in public sale,1.0,,,,,0.0,,1.0,,,,,,
5590 Ciney,Apartment,Apartment,245160.0,for sale,1.0,68.0,0.0,0.0,,1.0,6.0,0.0,,,,,,New
1350 Orp Le Grand,House,Residence,335000.0,for sale,3.0,150.0,,0.0,,1.0,,1.0,,481.0,,3.0,,
5542 Blaimont,House,Chalet,65000.0,for sale,2.0,40.0,,1.0,,1.0,,0.0,,355.0,,4.0,,
1350 Orp Le Grand,House,Residence,383572.0,for sale,3.0,195.0,,,,0.0,,1.0,257.0,350.0,,2.0,,New
8501 Heule,House,Residence,329000.0,for sale,3.0,146.0,1.0,0.0,,1.0,22.0,1.0,200.0,336.0,,2.0,0.0,Normal
1000 Brussels,Apartment,Studio,390000.0,for sale,,49.0,,,0.0,1.0,31.0,0.0,,,,2.0,,New
1410 Waterloo,House,Residence,425000.0,for sale,3.0,130.0,0.0,0.0,1.0,1.0,10.0,1.0,500.0,505.0,,3.0,0.0,To be renovated
4801 Stembert,House,Residence,170000.0,for sale,4.0,,,,,0.0,,1.0,,,,,,
3980 Tessenderlo,House,Residence,695000.0,for sale,4.0,608.0,,0.0,,1.0,,0.0,,1490.0,,,,Normal
9300 Aalst,Apartment,Apartment,95000.0,for sale,1.0,45.0,,0.0,,0.0,,0.0,,,,2.0,,To be renovated
1070 Anderlecht,Apartment,Apartment,298000.0,for sale,3.0,100.0,0.0,0.0,,1.0,16.0,0.0,,,,,,Normal
6032 Mont Sur Marchienne,Apartment,Apartment,475000.0,for sale,4.0,247.0,,1.0,,1.0,,1.0,,,,2.0,,Excellent
5640 Biesme,House,Residence,439000.0,for sale,4.0,172.0,0.0,0.0,,1.0,35.0,1.0,756.0,756.0,,4.0,,New
1330 Rixensart,House,Villa,1190000.0,for sale,5.0,350.0,0.0,0.0,1.0,1.0,80.0,1.0,2029.0,2029.0,,4.0,1.0,Excellent
1050 Elsene,House,Mixed Building,695000.0,for sale,4.0,250.0,,0.0,,0.0,,0.0,,65.0,,2.0,0.0,To be renovated
9300 Aalst,House,Residence,411000.0,for sale,3.0,141.0,,,,1.0,,1.0,,173.0,,2.0,,New
9620 Zottegem,House,Residence,324000.0,for sale,4.0,135.0,,,,1.0,,1.0,,100.0,,2.0,,Excellent
9420 Erpe Mere,House,Residence,210000.0,for sale,3.0,232.0,,0.0,0.0,1.0,10.0,1.0,76.0,,,,,Normal
3620 Lanaken,House,Residence,364000.0,for sale,4.0,171.0,,,,1.0,,1.0,,741.0,,3.0,,
1200 Sint Lambrechts Woluwe,Apartment,Apartment,475000.0,for sale,2.0,127.0,1.0,0.0,,1.0,5.0,0.0,,,,,0.0,Excellent
3270 Scherpenheuvel Zichem,House,Residence,429900.0,for sale,3.0,144.0,,,,1.0,,1.0,,600.0,,4.0,,
4690 Eben Emael,House,Residence,225000.0,for sale,3.0,148.0,,0.0,,0.0,,1.0,220.0,,,3.0,,To be renovated
1160 Oudergem,Apartment,Penthouse,1350000.0,for sale,3.0,198.0,0.0,0.0,,1.0,93.0,0.0,,,,3.0,0.0,Excellent
4700 Eupen,Apartment,Apartment,570000.0,for sale,4.0,190.0,,,,0.0,,0.0,,,,,,
1200 Sint Lambrechts Woluwe,House,Residence,480000.0,for sale,3.0,120.0,1.0,0.0,,1.0,,0.0,,91.0,,2.0,0.0,To renovate
5377 Hogne,House,Villa,257000.0,for sale,3.0,117.0,,0.0,,1.0,,1.0,,1797.0,,,,
1435 Corbais,House,Residence,495000.0,for sale,3.0,245.0,,0.0,,1.0,30.0,1.0,700.0,940.0,,4.0,0.0,Normal
1180 Ukkel,Apartment,Studio,270000.0,for sale,4.0,54.0,,,0.0,1.0,,0.0,,,,2.0,,New
2260 Tongerlo,House,Residence,449500.0,for sale,3.0,197.0,,0.0,,1.0,30.0,1.0,,418.0,,3.0,,New
4800 Verviers,Apartment,Apartment,129000.0,for sale,1.0,50.0,,0.0,,1.0,12.0,0.0,,,,2.0,0.0,Normal
2440 Geel,House,Chalet,179000.0,for sale,3.0,,,1.0,,1.0,,1.0,,420.0,,4.0,,
7800 Ath,Apartment,Apartment,240000.0,for sale,2.0,130.0,,0.0,,0.0,,0.0,,,,2.0,,Normal
1933 Sterrebeek,House,Villa,799000.0,for sale,3.0,175.0,,0.0,1.0,1.0,25.0,1.0,500.0,730.0,,4.0,,Excellent
1050 Elsene,House,Residence,580000.0,for sale,6.0,210.0,,,,0.0,,0.0,,,,2.0,,To be renovated
2390 Malle,House,Residence,559000.0,for sale,3.0,169.0,,,,1.0,,1.0,,605.0,,4.0,,New
8660 De Panne,Apartment,Apartment,250000.0,for sale,1.0,68.0,,1.0,,,,,,,,,,New
3000 Leuven,Apartment,Apartment,490000.0,for sale,2.0,94.0,,,,1.0,12.0,1.0,,,,2.0,,
8301 Duinbergen,Apartment,Apartment,995000.0,for sale,5.0,137.0,,,,1.0,,1.0,,,,3.0,,
2570 Duffel,Apartment,Apartment,339000.0,for sale,2.0,85.0,,,,1.0,,0.0,,,,,,
2580 Beerzel,House,Residence,550000.0,for sale,4.0,217.0,,,,1.0,,1.0,,390.0,,3.0,,New
1390 Biez,House,Residence,895000.0,for sale,7.0,420.0,,0.0,,1.0,,1.0,,3500.0,,3.0,,
7760 Molenbaix,House,Residence,99000.0,for sale,4.0,200.0,,0.0,,0.0,,0.0,,209.0,,,,To be renovated
9300 Aalst,Apartment,Apartment,259000.0,for sale,2.0,80.0,,0.0,0.0,1.0,30.0,1.0,20.0,,,,,New
2200 Herentals,House,Residence,398000.0,for sale,3.0,183.0,,,,1.0,,1.0,,180.0,,2.0,,New
1030 Schaarbeek,Apartment,Duplex,195000.0,for sale,2.0,55.0,,0.0,,0.0,,0.0,,,,2.0,0.0,To be renovated
6001 Marcinelle,House,Residence,238000.0,for sale,2.0,140.0,,,,1.0,25.0,1.0,200.0,1013.0,,3.0,,
7321 Blaton,House,Residence,72500.0,for sale,3.0,120.0,,0.0,,1.0,,1.0,,340.0,,2.0,0.0,To be renovated
8460 Oudenburg,House,Residence,362500.0,for sale,3.0,136.0,,,,0.0,,0.0,,232.0,,3.0,,
1050 Elsene,Apartment,Apartment,895000.0,for sale,3.0,203.0,,,,1.0,7.0,0.0,,,,3.0,,
5340 Gesves,House,Residence,475000.0,for sale,3.0,170.0,,0.0,,1.0,30.0,1.0,800.0,1042.0,,4.0,0.0,New
3580 Beringen,House,Residence,450000.0,for sale,3.0,201.0,,,,1.0,,1.0,,1130.0,,2.0,,
9700 Oudenaarde,House,Mixed Building,1850000.0,for sale,4.0,683.0,,0.0,,1.0,,,,817.0,,4.0,0.0,Normal
6224 Wanfercee Baulet,House,Residence,490000.0,for sale,4.0,165.0,,0.0,,1.0,,1.0,1797.0,1797.0,,4.0,,New
1120 Neder Over Heembeek,Apartment,Apartment,275000.0,for sale,3.0,100.0,1.0,0.0,,1.0,5.0,,,,,,,Normal
4577 Modave,Apartment,Apartment,129000.0,for sale,2.0,90.0,,0.0,,1.0,,0.0,,,,4.0,0.0,Normal
9800 Deinze,Apartment,Apartment,429740.0,for sale,3.0,117.0,0.0,0.0,,1.0,10.0,1.0,,,,2.0,0.0,New
1070 Anderlecht,Apartment,Apartment,239000.0,for sale,2.0,95.0,,0.0,,1.0,20.0,0.0,,,,4.0,,To be renovated
4950 Waimes,House,Residence,345000.0,for sale,4.0,132.0,1.0,1.0,,1.0,38.0,1.0,270.0,330.0,,3.0,0.0,Normal
1000 Brussels,Apartment,Apartment,525000.0,for sale,1.0,78.0,,,0.0,1.0,8.0,1.0,,,,2.0,,New
9840 De Pinte,House,Residence,488017.0,for sale,4.0,148.0,,,,,,,,657.0,,4.0,,New
9300 Aalst,House,Residence,690000.0,for sale,3.0,235.0,,,,1.0,,1.0,,1865.0,,4.0,,To be renovated
6700 Arlon,House,Mixed Building,399000.0,for sale,4.0,215.0,0.0,,,0.0,,1.0,,105.0,,2.0,0.0,Normal
1070 Anderlecht,House,Residence,329000.0,for sale,4.0,139.0,,,,0.0,,0.0,,67.0,,,,Normal
8800 Roeselare,Apartment,Apartment,411411.0,for sale,2.0,119.0,,,,1.0,22.0,0.0,,,,2.0,,New
9050 Gentbrugge,Apartment,Apartment,310000.0,for sale,1.0,70.0,0.0,0.0,,1.0,9.0,1.0,,,,2.0,0.0,New
6040 Jumet,House,Residence,119000.0,for sale,2.0,95.0,,0.0,,,,1.0,,,,3.0,,Normal
4690 Bassenge,Apartment,Apartment,139000.0,in public sale,2.0,69.0,0.0,,0.0,0.0,,0.0,,,,3.0,,Excellent
8700 Tielt,House,Residence,265000.0,for sale,3.0,161.0,1.0,0.0,,1.0,24.0,1.0,102.0,254.0,,2.0,0.0,Normal
1160 Oudergem,Apartment,Apartment,440000.0,for sale,3.0,46.0,,,0.0,1.0,,0.0,,,,4.0,,New
1000 Brussels,House,Residence,7750000.0,for sale,25.0,,,,,,,,,,,4.0,,
7700 Luingne,House,Villa,640000.0,for sale,4.0,,,,,1.0,,1.0,,1478.0,,4.0,,
5000 Namur,Apartment,Apartment,219000.0,for sale,2.0,94.0,1.0,,0.0,1.0,,0.0,,,,2.0,0.0,Excellent
2400 Mol,Apartment,Apartment,349000.0,for sale,2.0,118.0,,0.0,,1.0,70.0,0.0,,,,,,Normal
1420 Braine L Alleud,House,Villa,975000.0,for sale,4.0,220.0,0.0,0.0,1.0,1.0,25.0,1.0,,5156.0,,4.0,0.0,Excellent
