locality,property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,is_house,postal_code,wallonie_bx,building_state
2300 Turnhout,Apartment,Apartment,192000.0,1.0,58.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,1.3,0.167,0,2300,0,10.0
8700 Tielt,House,Residence,265000.0,3.0,161.0,1.0,0.0,1.0,24.0,1.0,102.0,254.0,2.0,0.0,1.0,1.6,0.13,1,8700,0,6.0
1000 Brussels,House,Mixed Building,2800000.0,3.0,469.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.34,0.08,1,1000,1,9.0
7700 Mouscron,Apartment,Apartment,87000.0,1.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.969,0.108,0,7700,1,4.0
3270 Scherpenheuvel-Zichem,Apartment,Duplex,249000.0,2.0,126.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.8,0.111,0,3270,0,8.0
2280 Grobbendonk,House,Residence,520000.0,5.0,165.0,0.0,0.0,1.0,30.0,1.0,320.0,554.0,4.0,0.0,2.0,5.0,1.3,1,2280,0,6.0
1820 Steenokkerzeel,House,Residence,499000.0,3.0,153.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,1.0,8.7,0.053,1,1820,0,9.0
2830 Willebroek,House,Residence,545000.0,4.0,205.0,1.0,0.0,1.0,0.0,1.0,0.0,216.0,2.0,0.0,2.0,1.9,0.435,1,2830,0,9.0
3600 Genk,House,Residence,375000.0,4.0,269.0,0.0,0.0,1.0,0.0,1.0,0.0,1987.0,4.0,0.0,2.0,2.4,0.562,1,3600,0,4.0
8670 Koksijde,House,Residence,603500.0,4.0,214.0,0.0,0.0,1.0,0.0,1.0,0.0,443.0,3.0,0.0,2.0,3.7,0.586,1,8670,0,10.0
8500 Kortrijk,House,Residence,498000.0,4.0,270.0,1.0,0.0,1.0,13.0,0.0,0.0,283.0,2.0,0.0,2.0,1.7,0.07,1,8500,0,9.0
9340 Lede,House,Residence,386801.0,3.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,3.0,0.0,2.0,1.0,0.024,1,9340,0,10.0
1160 Oudergem,House,Mixed Building,850000.0,4.0,214.0,0.0,0.0,1.0,0.0,1.0,267.0,365.0,2.0,0.0,3.0,1.7,0.065,1,1160,1,6.0
8620 Nieuwpoort,Apartment,Apartment,265000.0,2.0,51.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,2.0,10.0,0.387,0,8620,0,9.0
1980 Zemst,House,Residence,399000.0,3.0,171.0,0.0,0.0,1.0,0.0,1.0,0.0,582.0,4.0,0.0,2.0,1.2,0.089,1,1980,0,4.0
4400 Flémalle,House,Residence,314000.0,3.0,182.0,1.0,0.0,1.0,62.0,1.0,200.0,394.0,3.0,0.0,2.0,2.8,0.459,1,4400,1,9.0
6110 Montigny-le-Tilleul,House,Residence,230000.0,4.0,145.0,1.0,0.0,1.0,25.0,1.0,276.0,373.0,2.0,0.0,2.0,2.5,0.615,1,6110,1,3.0
1030 Schaarbeek,Apartment,Apartment,330000.0,2.0,112.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.1,0.108,0,1030,1,6.0
4980 Trois-Ponts,House,Residence,118000.0,3.0,130.0,0.0,0.0,0.0,0.0,1.0,60.0,126.0,2.0,0.0,2.0,0.592,0.055,1,4980,1,5.0
8680 Koekelare,House,Residence,325000.0,3.0,199.0,0.0,0.0,0.0,0.0,1.0,0.0,904.0,2.0,0.0,2.0,8.2,0.192,1,8680,0,5.0
8530 Harelbeke,House,Residence,475000.0,3.0,138.0,1.0,0.0,0.0,0.0,1.0,200.0,300.0,3.0,0.0,2.0,3.9,0.442,1,8530,0,10.0
2160 Wommelgem,House,Residence,1249000.0,6.0,485.0,0.0,0.0,1.0,0.0,1.0,1165.0,1590.0,3.0,1.0,2.0,5.0,0.676,1,2160,0,10.0
7860 Lessines,House,Residence,129000.0,3.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.603,0.194,1,7860,1,4.0
4000 Liege,Apartment,Apartment,129000.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,1.9,0.086,0,4000,1,6.0
1090 Jette,Apartment,Apartment,185000.0,1.0,57.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.931,0.056,0,1090,1,6.0
1120 Neder-Over-Heembeek,Apartment,Apartment,175000.0,1.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,1.9,0.786,0,1120,1,6.0
9190 Stekene,House,Residence,443000.0,3.0,170.0,1.0,0.0,1.0,0.0,1.0,220.0,320.0,3.0,0.0,2.0,10.9,0.62,1,9190,0,10.0
4041 Milmort,House,Residence,299000.0,3.0,173.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.016,1,4041,1,6.0
7800 Ath,House,Residence,385000.0,3.0,172.0,0.0,0.0,1.0,40.0,1.0,2599.0,2870.0,3.0,0.0,2.0,1.2,0.019,1,7800,1,5.0
2490 Balen,Apartment,Apartment,399000.0,4.0,295.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,2.0,0.098,0.172,0,2490,0,5.0
8400 Oostende,Apartment,Apartment,215000.0,2.0,72.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.754,0.069,0,8400,0,5.0
9500 Geraardsbergen,House,Master House,349000.0,5.0,284.0,1.0,1.0,1.0,16.0,0.0,0.0,130.0,2.0,0.0,2.0,0.827,0.116,1,9500,0,6.0
5300 Andenne,Apartment,Apartment,179000.0,2.0,94.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.707,0.028,0,5300,1,6.0
1000 Brussels,House,Residence,1090000.0,4.0,270.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,2.0,0.0,2.0,1.1,0.147,1,1000,1,9.0
9032 Wondelgem,Apartment,Apartment,299000.0,2.0,82.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,3.0,0.0,1.0,0.465,0.056,0,9032,0,10.0
4031 Angleur,Apartment,Apartment,295000.0,2.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.5,0.074,0,4031,1,5.0
5542 Blaimont,House,Chalet,70000.0,2.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,210.0,4.0,0.0,1.0,10.3,4.3,1,5542,1,5.0
8670 Koksijde,Apartment,Apartment,430000.0,2.0,67.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,4.8,0.559,0,8670,0,10.0
9160 Lokeren,House,Residence,385000.0,3.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,2.0,0.0,2.0,0.681,0.206,1,9160,0,5.0
3545 Halen,House,Residence,498000.0,3.0,246.0,0.0,0.0,0.0,0.0,1.0,0.0,2541.0,4.0,0.0,2.0,9.0,1.5,1,3545,0,5.0
4030 Grivegnée,Apartment,Apartment,169000.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.1,0.461,0,4030,1,5.0
7500 Tournai,Apartment,Apartment,175000.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.4,0.066,0,7500,1,5.0
1050 Elsene,Apartment,Ground Floor,595000.0,2.0,106.0,1.0,0.0,1.0,65.0,1.0,0.0,0.0,2.707469745444429,0.0,1.0,0.995,0.239,0,1050,1,9.0
1000 Brussels,Apartment,Apartment,290000.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.3,0.137,0,1000,1,6.0
1600 Sint-Pieters-Leeuw,House,Residence,466407.0,3.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,3.0,0.0,2.0,3.5,0.429,1,1600,0,10.0
