property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,postal_code,wallonie_bx,building_state
House,Residence,545000.0,5.0,263.0,0.0,0.0,1.0,0.0,1.0,90.0,195.0,2.707469745444429,0.0,3.0,3.3,0.11,1780,0,6.0
Apartment,Penthouse,1449000.0,3.0,250.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,2.0,0.0,3.0,3.7,0.225,1200,1,10.0
Apartment,Apartment,185000.0,2.0,90.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,2.0,0.0,1.0,1.5,0.05,1080,1,3.0
House,Villa,460000.0,3.0,160.0,0.0,0.0,1.0,20.0,1.0,0.0,1136.0,4.0,0.0,2.0,5.2,0.256,1380,1,4.0
House,Residence,650000.0,10.0,600.0,1.0,1.0,1.0,0.0,1.0,0.0,523.0,3.0,0.0,8.0,5.6,0.321,5575,1,6.0
House,Mixed Building,249000.0,3.0,117.0,1.0,0.0,0.0,0.0,1.0,50.0,0.0,4.0,0.0,2.0,1.8,1.7,7600,1,6.0
House,Residence,785000.0,4.0,287.0,1.0,0.0,1.0,0.0,1.0,300.0,384.0,3.0,0.0,3.0,1.0,0.47,1180,1,6.0
House,Residence,299000.0,3.0,136.0,0.0,0.0,1.0,40.0,1.0,70.0,167.0,2.0,0.0,2.0,2.7,0.228,4430,1,8.0
House,Residence,425000.0,5.0,218.0,0.0,0.0,1.0,0.0,1.0,0.0,2165.0,4.0,0.0,2.0,8.1,0.98,2340,0,4.0
Apartment,Apartment,365000.0,3.0,173.0,0.0,0.0,0.0,0.0,1.0,110.0,0.0,2.707469745444429,0.0,1.0,1.1,0.087,1080,1,6.0
Apartment,Ground Floor,325858.0,2.0,88.0,0.0,0.0,1.0,51.0,1.0,120.0,0.0,1.0,0.0,2.0,3.0,0.149,4000,1,5.0
Apartment,Penthouse,2250000.0,3.0,126.0,1.0,1.0,1.0,68.0,0.0,0.0,0.0,4.0,0.0,2.0,0.672,0.602,8380,0,9.0
House,Residence,120000.0,2.0,45.0,1.0,1.0,1.0,0.0,1.0,0.0,70.0,2.0,0.0,1.0,5.5,0.51,8670,0,9.0
House,Residence,260000.0,3.0,138.0,1.0,0.0,0.0,0.0,1.0,839.0,839.0,2.0,0.0,1.0,3.7,0.19,5575,1,3.0
House,Residence,325000.0,3.0,150.0,0.0,0.0,1.0,0.0,1.0,0.0,365.0,3.0,0.0,2.0,1.9,0.112,6041,1,10.0
Apartment,Apartment,755000.0,2.0,117.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,2.0,0.0,2.0,2.8,0.092,1200,1,10.0
House,Residence,279500.0,3.0,109.0,0.0,0.0,1.0,0.0,1.0,0.0,52.0,2.0,0.0,1.0,0.534,0.262,8900,0,9.0
House,Residence,499000.0,4.0,239.0,0.0,0.0,1.0,0.0,1.0,0.0,385.0,3.0,0.0,3.0,7.5,1.1,9190,0,10.0
House,Residence,139000.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,2.707469745444429,0.0,2.0,2.472569206067988,0.089,4577,1,8.0
Apartment,Apartment,369000.0,2.0,84.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.1,0.445,2930,0,9.0
Apartment,Apartment,229000.0,2.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.1,0.155,1080,1,3.0
House,Villa,825000.0,4.0,344.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,3.0,3.7,1.5,1790,0,9.0
House,Residence,398789.0,3.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,300.0,3.0,0.0,2.0,1.0,0.1,9340,0,10.0
Apartment,Ground Floor,310000.0,2.0,71.0,0.0,0.0,1.0,17.0,1.0,5.0,0.0,2.707469745444429,1.0,2.0,10.6,0.908,8620,0,10.0
House,Residence,339000.0,4.0,187.0,0.0,0.0,1.0,45.0,1.0,2098.0,0.0,2.707469745444429,0.0,2.0,1.0,0.689,5590,1,4.0
Apartment,Apartment,399500.0,2.0,103.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.847,0.137,1180,1,9.0
Apartment,Apartment,236550.0,1.0,83.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,0.67,0.123,8800,0,10.0
Apartment,Ground Floor,259000.0,2.0,76.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.42,0.255,8790,0,5.0
House,Residence,549000.0,3.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,3.0,0.0,2.0,0.504,0.179,2018,0,4.0
House,Residence,470000.0,3.0,185.0,0.0,0.0,1.0,35.0,0.0,0.0,119.0,2.0,0.0,1.0,0.463,0.172,2800,0,4.0
House,Residence,394033.0,3.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,3.0,0.0,2.0,1.6,0.049,9450,0,10.0
Apartment,Ground Floor,330000.0,2.0,99.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,5.8,0.133,3550,0,5.0
