locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km
1050 Elsene,Apartment,Triplex,595000,for sale,3.0,190.0,1.0,1.0,0.0,None,0.0,None,None,2.0,0.0,Fully renovated,3.0,1.4,0.028
1330 Rixensart,House,Residence,795000,for sale,4.0,208.0,1.0,0.0,1.0,14.0,1.0,559.0,559.0,4.0,0.0,New,None,0.245,0.389
1020 Laken,Apartment,Apartment,399000,for sale,3.0,133.0,1.0,None,1.0,11.0,0.0,None,None,2.0,None,New,2.0,0.821,0.43
2560 Nijlen,Apartment,Apartment,315000,for sale,2.0,96.0,None,None,1.0,18.0,1.0,None,None,3.0,None,New,1.0,0.185,0.124
4590 Ouffet,House,Villa,475000,for sale,3.0,172.0,1.0,0.0,1.0,47.0,1.0,2842.0,3066.0,4.0,0.0,Excellent,2.0,6.3,0.622
1180 Ukkel,Apartment,Apartment,645000,for sale,3.0,153.0,1.0,0.0,1.0,15.0,0.0,None,None,2.0,0.0,Normal,2.0,1.1,0.147
7370 Dour,House,Residence,240000,for sale,4.0,248.0,None,0.0,1.0,37.0,1.0,135.0,340.0,3.0,None,To renovate,2.0,4.3,0.42
6940 Durbuy,House,Residence,585000,for sale,5.0,309.0,None,0.0,1.0,37.0,1.0,1078.0,1218.0,4.0,1.0,None,2.0,6.7,0.184
9890 Gavere,Apartment,Duplex,447375,for sale,3.0,148.0,1.0,0.0,1.0,11.0,0.0,None,None,4.0,None,New,1.0,1.7,0.259
1210 Sint-Joost-ten-Node,Apartment,Apartment,140000,for sale,1.0,43.0,None,0.0,0.0,None,0.0,None,None,2.0,None,To be renovated,1.0,0.892,0.129
5100 Dave,Apartment,Apartment,189000,for sale,2.0,104.0,None,None,1.0,None,None,None,None,2.0,None,Normal,1.0,1.7,0.151
8400 Oostende,Apartment,Apartment,499000,for sale,2.0,98.0,None,None,1.0,24.0,0.0,None,None,3.0,None,Excellent,1.0,2.2,0.83
1160 Oudergem,Apartment,Apartment,420000,for sale,2.0,110.0,None,0.0,1.0,115.0,0.0,None,None,2.0,0.0,Excellent,2.0,1.7,0.065
8400 Oostende,Apartment,Apartment,229000,for sale,None,81.0,None,None,1.0,None,0.0,None,None,None,None,None,None,1.6,0.207
3520 Zonhoven,House,Residence,585000,for sale,4.0,253.0,None,None,1.0,16.0,1.0,None,521.0,4.0,None,None,2.0,1.7,0.964
1602 Vlezenbeek,Apartment,Apartment,259000,for sale,2.0,98.0,1.0,0.0,1.0,8.0,0.0,None,None,3.0,0.0,Excellent,1.0,4.0,0.007
9050 Gentbrugge,Apartment,Duplex,349000,for sale,2.0,119.0,1.0,0.0,1.0,10.0,0.0,None,None,4.0,0.0,Normal,2.0,0.81,0.262
2860 Sint-Katelijne-Waver,House,Mansion,1500000,for sale,8.0,660.0,1.0,None,1.0,10.0,1.0,None,29224.0,4.0,None,None,4.0,4.4,0.215
