Zip Code,Municipality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Number of facades,Swimming pool,State of the building,price_per_m2,Region,building_state_encoded
6700,Arlon,House,Residence,590000.0,for sale,3.0,179.0,0.0,0.0,1.0,,1.0,,624.0,2.0,0.0,New,3296.08938547486,Wallonia,9.0
4680,Oupeye,Apartment,Apartment,195000.0,for sale,2.0,82.0,1.0,0.0,1.0,,0.0,0.0,,,0.0,,2378.048780487805,Wallonia,
3970,Leopoldsburg,House,Residence,240000.0,for sale,3.0,182.0,0.0,0.0,0.0,0.0,1.0,,283.0,2.0,0.0,,1318.6813186813188,Flanders,
8530,Harelbeke,House,Residence,239000.0,for sale,3.0,146.0,1.0,0.0,1.0,15.0,1.0,72.0,275.0,3.0,0.0,To renovate,1636.986301369863,Flanders,3.0
8680,Koekelare,House,Residence,439000.0,for sale,3.0,,0.0,0.0,1.0,34.0,0.0,0.0,690.0,2.0,0.0,,,Flanders,
1853,Strombeek Bever,Apartment,Apartment,195000.0,for sale,1.0,70.0,0.0,0.0,1.0,,0.0,0.0,,2.0,0.0,Normal,2785.714285714286,Flanders,5.0
1400,Nivelles,House,Residence,325000.0,for sale,3.0,145.0,0.0,0.0,1.0,43.0,1.0,180.0,260.0,2.0,0.0,Normal,2241.3793103448274,Wallonia,5.0
4000,Liege,House,Mixed Building,369000.0,for sale,4.0,256.0,0.0,0.0,1.0,6.0,0.0,0.0,85.0,2.0,0.0,To renovate,1441.40625,Wallonia,3.0
4030,Grivegnee,House,Residence,49000.0,for sale,2.0,88.0,0.0,0.0,1.0,28.0,0.0,0.0,136.0,4.0,0.0,To be renovated,556.8181818181819,Wallonia,4.0
2018,Antwerp,Apartment,Apartment,189000.0,for sale,1.0,53.0,0.0,0.0,1.0,10.0,0.0,0.0,,2.0,0.0,Normal,3566.0377358490564,Flanders,5.0
1790,Affligem,House,Villa,949000.0,for sale,3.0,378.0,0.0,0.0,1.0,72.0,1.0,700.0,1323.0,4.0,1.0,Excellent,2510.5820105820108,Flanders,8.0
6700,Arlon,Apartment,Apartment,195000.0,for sale,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,Normal,3196.72131147541,Wallonia,5.0
1060,Sint Gillis,Apartment,Ground Floor,195000.0,for sale,3.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,Normal,1523.4375,Brussels,5.0
1640,Sint Genesius Rode,House,Bungalow,685000.0,for sale,4.0,150.0,0.0,0.0,1.0,30.0,1.0,,1360.0,4.0,0.0,,4566.666666666667,Flanders,
4040,Herstal,House,Residence,380000.0,for sale,5.0,249.0,0.0,0.0,1.0,37.0,0.0,0.0,228.0,3.0,0.0,,1526.1044176706828,Wallonia,
2400,Mol,Apartment,Apartment,319000.0,for sale,3.0,107.0,0.0,0.0,1.0,17.0,1.0,,,2.0,0.0,Normal,2981.308411214953,Flanders,5.0
3090,Overijse,House,Residence,1200000.0,for sale,7.0,479.0,0.0,0.0,0.0,0.0,1.0,,2029.0,2.0,0.0,,2505.2192066805846,Flanders,
1200,Sint Lambrechts Woluwe,Apartment,Apartment,535000.0,for sale,3.0,130.0,1.0,0.0,1.0,12.0,0.0,0.0,,4.0,0.0,Normal,4115.384615384615,Brussels,5.0
1150,Sint Pieters Woluwe,Apartment,Apartment,410000.0,for sale,2.0,110.0,0.0,0.0,1.0,8.0,0.0,0.0,,2.0,0.0,,3727.2727272727275,Brussels,
6000,Charleroi,House,Residence,235000.0,for sale,2.0,115.0,0.0,0.0,1.0,15.0,1.0,85.0,85.0,2.0,0.0,Normal,2043.4782608695652,Wallonia,5.0
6700,Arlon,House,Residence,199000.0,for sale,2.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,2.0,0.0,To be renovated,1644.6280991735537,Wallonia,4.0
1150,Sint Pieters Woluwe,House,Residence,899000.0,for sale,4.0,383.0,0.0,0.0,1.0,,1.0,240.0,513.0,3.0,0.0,To be renovated,2347.2584856396866,Brussels,4.0
1640,Sint Genesius Rode,House,Residence,345000.0,for sale,3.0,135.0,0.0,0.0,1.0,40.0,0.0,0.0,160.0,2.0,0.0,To be renovated,2555.5555555555557,Flanders,4.0
6240,Pironchamps,Apartment,Apartment,250000.0,for sale,3.0,170.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,New,1470.5882352941176,Wallonia,9.0
2860,Sint Katelijne Waver,House,Residence,399000.0,for sale,2.0,111.0,0.0,0.0,1.0,,1.0,676.0,974.0,4.0,0.0,Normal,3594.5945945945946,Flanders,5.0
6531,Biesme Sous Thuin,House,Residence,175000.0,for sale,2.0,61.0,0.0,0.0,0.0,0.0,1.0,92.0,700.0,,0.0,Normal,2868.8524590163934,Wallonia,5.0
5353,Goesnes,House,Residence,443245.0,for sale,3.0,228.0,0.0,0.0,0.0,0.0,1.0,,2291.0,4.0,0.0,New,1944.0570175438597,Wallonia,9.0
4219,Wasseiges,House,Bungalow,135000.0,for sale,1.0,70.0,0.0,1.0,1.0,92.0,1.0,207.0,265.0,4.0,0.0,Normal,1928.5714285714287,Wallonia,5.0
1200,Sint Lambrechts Woluwe,House,Residence,655000.0,for sale,4.0,190.0,0.0,0.0,1.0,20.0,1.0,450.0,602.0,3.0,0.0,To renovate,3447.3684210526317,Brussels,3.0
1325,Chaumont Gistoux,House,Residence,790000.0,for sale,4.0,202.0,1.0,0.0,1.0,,1.0,1139.0,1327.0,4.0,0.0,To be renovated,3910.891089108911,Wallonia,4.0
9300,Aalst,Apartment,Apartment,289000.0,for sale,2.0,115.0,0.0,0.0,1.0,15.0,0.0,0.0,,,0.0,Excellent,2513.0434782608695,Flanders,8.0
6041,Gosselies,House,Residence,129000.0,for sale,3.0,110.0,0.0,0.0,1.0,,1.0,35.0,135.0,2.0,0.0,To renovate,1172.7272727272727,Wallonia,3.0
9940,Evergem,House,Residence,310000.0,for sale,3.0,130.0,0.0,0.0,1.0,15.0,1.0,,280.0,2.0,0.0,,2384.6153846153848,Flanders,
7730,Leers Nord,House,Residence,395000.0,for sale,3.0,189.0,0.0,0.0,1.0,70.0,1.0,256.0,399.0,3.0,0.0,Normal,2089.94708994709,Wallonia,5.0
1420,Braine L Alleud,House,Villa,895000.0,for sale,3.0,190.0,0.0,0.0,1.0,,1.0,,2019.0,4.0,0.0,Normal,4710.526315789473,Wallonia,5.0
1450,Chastre,House,Residence,515000.0,for sale,4.0,180.0,0.0,0.0,1.0,24.0,1.0,,1445.0,4.0,0.0,Excellent,2861.1111111111113,Wallonia,8.0
8620,Nieuwpoort,Apartment,Apartment,860000.0,for sale,2.0,,0.0,0.0,1.0,,0.0,0.0,,,0.0,Excellent,,Flanders,8.0
4052,Beaufays,Apartment,Apartment,405000.0,for sale,2.0,99.0,0.0,0.0,1.0,13.0,1.0,84.0,,2.0,0.0,New,4090.909090909091,Wallonia,9.0
8400,Oostende,Apartment,Apartment,499000.0,for sale,2.0,98.0,0.0,0.0,1.0,24.0,0.0,0.0,,3.0,0.0,Excellent,5091.836734693878,Flanders,8.0
7300,Boussu,House,Residence,125000.0,for sale,,,0.0,0.0,1.0,20.0,0.0,0.0,100.0,,0.0,To be renovated,,Wallonia,4.0
7700,Mouscron,House,Residence,214000.0,for sale,2.0,150.0,0.0,0.0,1.0,,1.0,,,,0.0,,1426.6666666666667,Wallonia,
9420,Erpe,House,Residence,490625.0,for sale,3.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,3.0,0.0,New,2937.874251497006,Flanders,9.0
3730,Hoeselt,Apartment,Ground Floor,240000.0,for sale,3.0,124.0,0.0,0.0,1.0,,1.0,,,,0.0,,1935.483870967742,Flanders,
6853,Framont,House,Residence,249000.0,for sale,4.0,200.0,0.0,0.0,0.0,0.0,1.0,,710.0,3.0,0.0,To be renovated,1245.0,Wallonia,4.0
6240,Farciennes,House,Residence,229000.0,for sale,3.0,130.0,0.0,0.0,1.0,54.0,1.0,,138.0,2.0,0.0,,1761.5384615384614,Wallonia,
4130,Esneux,Apartment,Apartment,406445.0,for sale,2.0,112.0,0.0,0.0,1.0,19.0,0.0,0.0,,,0.0,New,3628.973214285714,Wallonia,9.0
9890,Dikkelvenne,House,Residence,504059.0,for sale,3.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,4.0,0.0,New,2695.5026737967914,Flanders,9.0
3920,Lommel,House,Residence,336000.0,for sale,2.0,97.0,0.0,0.0,1.0,,1.0,,245.0,3.0,0.0,Normal,3463.917525773196,Flanders,5.0
1370,Jodoigne,Apartment,Apartment,159000.0,for sale,1.0,48.0,0.0,0.0,1.0,6.0,0.0,0.0,,2.0,0.0,,3312.5,Wallonia,
