locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km,price_per_m2,postal_code,region,outlier_flag,avg_price_locality,building_state_encoded
1160 Oudergem,Apartment,Apartment,420000.0,for sale,2.0,110.0,0.0,0.0,1.0,115.0,0.0,0.0,,2.0,0.0,Excellent,2.0,1.7,0.065,3818.18,1160,Brussels,False,598840.9,8.0
8400 Oostende,Apartment,Apartment,229000.0,for sale,,81.0,0.0,,1.0,,0.0,0.0,,,0.0,,,1.6,0.207,2827.16,8400,Flanders,False,319670.9,
3520 Zonhoven,House,Residence,585000.0,for sale,4.0,253.0,0.0,,1.0,16.0,1.0,,521.0,4.0,0.0,,2.0,1.7,0.964,2312.25,3520,Flanders,False,456567.1,
1602 Vlezenbeek,Apartment,Apartment,259000.0,for sale,2.0,98.0,1.0,0.0,1.0,8.0,0.0,0.0,,3.0,0.0,Excellent,1.0,4.0,0.007,2642.86,1602,Flanders,False,497000.0,8.0
9050 Gentbrugge,Apartment,Duplex,349000.0,for sale,2.0,119.0,1.0,0.0,1.0,10.0,0.0,0.0,,4.0,0.0,Normal,2.0,0.81,0.262,2932.77,9050,Flanders,False,470867.9,5.0
3621 Rekem,House,Residence,379000.0,for sale,3.0,169.0,0.0,0.0,1.0,,1.0,,837.0,4.0,0.0,Normal,2.0,10.6,0.447,2242.6,3621,Flanders,False,386500.0,5.0
9550 Herzele,House,Residence,477165.0,for sale,4.0,206.0,0.0,,0.0,0.0,0.0,0.0,540.0,3.0,0.0,New,2.0,5.7,0.47,2316.33,9550,Flanders,False,372324.2,9.0
2570 Duffel,Apartment,Apartment,367500.0,for sale,2.0,93.0,0.0,,1.0,11.0,0.0,0.0,,2.0,0.0,New,,0.814,0.108,3951.61,2570,Flanders,False,403825.4,9.0
3440 Zoutleeuw,House,Residence,160000.0,for sale,3.0,139.0,0.0,,0.0,0.0,1.0,,180.0,,0.0,,,6.2,0.165,1151.08,3440,Flanders,False,324666.7,
6850 Paliseul,House,Residence,99000.0,for sale,2.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,To be renovated,1.0,1.3,0.033,942.86,6850,Wallonia,False,273926.7,4.0
8370 Blankenberge,Apartment,Studio,99000.0,for sale,,28.0,0.0,,1.0,,0.0,0.0,,,0.0,,,0.862,0.381,3535.71,8370,Flanders,False,296548.1,
7800 Ath,House,Residence,295000.0,for sale,4.0,151.0,0.0,,1.0,30.0,1.0,533.0,662.0,3.0,0.0,Normal,2.0,1.1,0.254,1953.64,7800,Wallonia,False,283506.5,5.0
4000 Glain,Apartment,Apartment,80000.0,for sale,2.0,90.0,0.0,,0.0,0.0,0.0,0.0,,2.0,0.0,,,1.3,0.205,888.89,4000,Wallonia,False,255827.6,
8930 Rekkem,House,Residence,269000.0,for sale,3.0,130.0,1.0,0.0,1.0,,1.0,120.0,283.0,3.0,0.0,Normal,2.0,5.1,0.146,2069.23,8930,Flanders,False,260928.6,5.0
1932 Woluwe-saint-Etienne,Apartment,Duplex,449000.0,for sale,3.0,127.0,0.0,0.0,1.0,,0.0,0.0,,2.0,0.0,Excellent,2.0,2.3,0.343,3535.43,1932,Flanders,False,362625.0,8.0
2930 Brasschaat,House,Residence,460000.0,for sale,4.0,160.0,0.0,0.0,1.0,,1.0,110.0,222.0,2.0,0.0,Normal,2.0,5.5,0.513,2875.0,2930,Flanders,False,543628.6,5.0
